Date,Actual_Rate,Agent_Rate,Inflation,GDP_Gap,Agent_Error
4,5.863333333333333,0.0,0.5256069117308915,-0.9491745655303632,-5.863333333333333
5,5.643333333333334,0.0,0.5457337995490308,-0.7973475451191427,-5.643333333333334
6,4.816666666666666,0.0,0.679277171086845,-0.9272486778453665,-4.816666666666666
7,4.023333333333333,0.0,0.7263453530038433,-1.225392574512946,-4.023333333333333
8,3.77,0.0,0.6265623998461534,-0.7058005970438167,-3.77
9,3.256666666666666,0.0,0.6640656103192866,-0.312114235991177,-3.256666666666666
10,3.036666666666667,0.0,0.6375371764854698,-0.03003596923274413,-3.036666666666667
11,3.04,0.0,0.6979485970289856,0.2887760684602236,-3.04
12,3.0,0.0,0.5963252626485005,-0.282226110482784,-3.0
13,3.06,0.0,0.6719324653559067,-0.4581421572236508,-3.06
14,2.99,0.0,0.4331473317507939,-0.7569327345543189,-2.99
15,3.213333333333333,0.0,0.5770854117105539,-0.2048529214428738,-3.213333333333333
16,3.94,0.0,0.358608902656754,-0.05471904849211232,-3.94
17,4.486666666666667,0.0,0.5580391083538361,0.4585197757132345,-4.486666666666667
18,5.166666666666667,0.0,0.7167374835558737,0.1887704880990114,-5.166666666666667
19,5.81,0.0,0.469920578918126,0.459405168726946,-5.81
20,6.02,0.0,0.4886431560071625,-0.07406127020278447,-6.02
21,5.796666666666667,0.0,0.5829256323702126,-0.6778276506517235,-5.796666666666667
22,5.72,0.0,0.4080486110084491,-0.7513968756232675,-5.72
23,5.363333333333333,0.0,0.4402562026061929,-1.010372048904359,-5.363333333333333
24,5.243333333333333,0.0,0.555604421379785,-1.215777759593797,-5.243333333333333
25,5.306666666666667,0.0,0.66916449200356,-0.5359638007576881,-5.306666666666667
26,5.28,0.0,0.4257660893239867,-0.6229435546165961,-5.28
27,5.276666666666666,0.0,0.6820869264269058,-0.5803804920217188,-5.276666666666666
28,5.523333333333333,0.0,0.4411406637161663,-0.93142682481843,-5.523333333333333
29,5.533333333333334,0.0,0.2509732342749649,-0.2848319424145758,-5.533333333333334
30,5.506666666666667,0.0,0.2631466651494385,-0.04571485064303922,-5.506666666666667
31,5.52,0.0,0.3149472250595808,-0.1934746528128172,-5.52
32,5.5,0.0,0.007071135624392433,-0.1863417434649951,-5.5
33,5.533333333333334,0.0,0.1810082726437123,-0.2464143640585443,-5.533333333333334
34,4.86,0.0,0.3091342828507981,0.03608810028590101,-4.86
35,4.733333333333333,0.0,0.2631504883059854,0.6832627731438504,-4.733333333333333
36,4.746666666666667,0.0,0.1978975143510864,0.6868109159264763,-4.746666666666667
37,5.093333333333334,0.0,0.5687071018350087,0.6087808613395107,-5.093333333333334
38,5.306666666666667,0.0,0.5501699259011561,1.045646342766699,-5.306666666666667
39,5.676666666666667,0.0,0.6067238298402833,1.826841473115959,-5.676666666666667
40,6.273333333333333,0.0,0.8123476848090894,1.352070071332569,-6.273333333333333
41,6.52,0.0,0.4766522350756031,2.373817951959654,-6.52
42,6.473333333333334,0.0,0.6443018703784276,1.686949202609546,-6.473333333333334
43,5.593333333333334,0.0,0.5645444477458739,1.529055030138232,-5.593333333333334
44,4.326666666666667,0.0,0.7413376309427955,0.460686017494613,-4.326666666666667
45,3.496666666666667,0.0,0.4679251319788857,0.3703751497801003,-3.496666666666667
46,2.133333333333333,0.0,0.05042262118015728,-0.7288479482829519,-2.133333333333333
47,1.733333333333333,0.0,0.04111351308337952,-1.141970521500121,-1.733333333333333
48,1.75,0.0,0.2015059921518736,-0.9975556736208057,-1.75
49,1.74,0.0,0.7422205757832145,-1.071347797325237,-1.74
50,1.443333333333333,0.0,0.5174338433252323,-1.34848179658895,-1.443333333333333
51,1.25,0.0,0.466428879394809,-1.904386400549611,-1.25
52,1.246666666666667,0.0,0.7646691635455616,-2.067574753341836,-1.246666666666667
53,1.016666666666667,0.0,0.1006659439368063,-1.883961419157521,-1.016666666666667
54,0.9966666666666667,0.0,0.6588277764884909,-0.9432612878000873,-0.9966666666666667
55,1.003333333333333,0.0,0.4918473736118756,-0.4859048259122975,-1.003333333333333
56,1.01,0.0,0.771123035548138,-0.6082752427422009,-1.01
57,1.433333333333333,0.0,0.6728896309225574,-0.5160718102564454,-1.433333333333333
58,1.95,0.0,0.4912430585219951,-0.2395402452467153,-1.95
59,2.47,0.0,0.8551603425642318,0.1255058521006685,-2.47
60,2.943333333333333,0.0,0.5813881416653288,0.6015652610593172,-2.943333333333333
61,3.46,0.0,0.6310236880376685,0.4882463474600002,-3.46
62,3.98,0.0,1.080220453153702,0.6943752361186278,-3.98
63,4.456666666666667,0.0,0.7960548635680631,0.7039739379619651,-4.456666666666667
64,4.906666666666667,0.0,0.5192994266068895,1.539233992657608,-4.906666666666667
65,5.246666666666667,0.0,0.8777699381734339,1.320365674248248,-5.246666666666667
66,5.246666666666667,0.0,0.719577974038299,1.030063683697309,-5.246666666666667
67,5.256666666666667,0.0,-0.1647795485040349,1.492670098605771,-5.256666666666667
68,5.25,0.0,0.9136780552215118,1.430877930341367,-5.25
69,5.073333333333333,0.0,0.8493288316179459,1.720551812834735,-5.073333333333333
70,4.496666666666667,0.0,0.5653120800704237,2.010162879143604,-4.496666666666667
71,3.176666666666666,0.0,1.015988573008353,2.386181541028876,-3.176666666666666
72,2.086666666666666,0.0,0.8141948137842858,1.714275003744329,-2.086666666666666
73,1.94,0.0,0.9738937652701063,2.106627482961629,-1.94
74,0.5066666666666667,0.0,1.066439637500127,1.37431896279233,-0.5066666666666667
75,0.1833333333333333,0.0,-1.596080735083849,-1.028470160070301,-0.1833333333333333
76,0.18,0.0,-0.67582027686105,-2.333774508414202,-0.18
77,0.1566666666666666,146.91494750976562,0.3980449303137901,-2.698209861479611,146.75828084309896
78,0.12,147.00665283203125,0.6890164008494182,-2.561478572297244,146.88665283203125
79,0.1333333333333333,146.78155517578125,0.771802292970758,-1.734432370046209,146.64822184244792
80,0.1933333333333334,144.2975616455078,0.3862852053879706,-1.507489947059171,144.10422831217448
81,0.1866666666666667,0.0,0.1552502301030101,-0.8298248999485802,-0.1866666666666667
82,0.1866666666666667,0.0,0.1915475491878649,-0.3672305106720065,-0.1866666666666667
83,0.1566666666666667,0.0,0.6409548016355293,-0.1726017021728859,-0.1566666666666667
84,0.09333333333333334,0.0,0.8400131766772789,-0.7618235181092867,-0.09333333333333334
85,0.08333333333333333,0.0,0.98328523983231,-0.4697122837032551,-0.08333333333333333
86,0.07333333333333335,0.0,0.4625935430999206,-0.894832508751577,-0.07333333333333335
87,0.1033333333333333,0.0,0.3305891571049768,-0.2120746627445152,-0.1033333333333333
88,0.1533333333333333,0.0,0.6622091468307056,0.1696065070655458,-0.1533333333333333
89,0.1433333333333333,0.0,0.2412481135885436,0.1399953208862602,-0.1433333333333333
90,0.16,0.0,0.2904973441757441,-0.2110276663213111,-0.16
91,0.1433333333333333,0.0,0.5613404513980624,-0.6077489959686483,-0.1433333333333333
92,0.1166666666666667,0.0,0.3500620230010743,-0.1591018167723291,-0.1166666666666667
93,0.08333333333333333,0.0,0.05133093788955989,-0.4379762707734957,-0.08333333333333333
94,0.08666666666666667,0.0,0.4114838547556232,-0.1518014366591387,-0.08666666666666667
95,0.07333333333333335,0.0,0.3680879240049784,0.1436982991185128,-0.07333333333333335
96,0.09333333333333334,0.0,0.4592016955139444,-0.7810186144332628,-0.09333333333333334
97,0.09000000000000001,0.0,0.4477951518160106,-0.08998064931398415,-0.09000000000000001
98,0.09999999999999999,0.0,0.2728330364772713,0.5248468691112376,-0.09999999999999999
99,0.11,0.0,-0.1324516910692686,0.4316842006361949,-0.11
100,0.1233333333333333,0.0,-0.4482599084974059,0.7321650408243945,-0.1233333333333333
101,0.1366666666666667,0.0,0.4988175030207875,0.7533280634834333,-0.1366666666666667
102,0.16,0.0,0.2599884906280936,0.557501174098436,-0.16
103,0.36,0.0,-0.0768718290370507,0.1496353383371917,-0.36
104,0.3733333333333334,0.0,0.0492358190583575,0.1403967570429548,-0.3733333333333334
105,0.3966666666666667,0.0,0.6346244540589296,-0.1221175795219891,-0.3966666666666667
106,0.45,0.0,0.3453650783948214,0.005776680715766626,-0.45
107,0.7000000000000001,0.0,0.4578866146848659,-0.01590656876494078,-0.7000000000000001
108,0.9500000000000001,0.0,0.5831404691400532,-0.09986645638371014,-0.9500000000000001
109,1.153333333333333,0.0,0.20095655319321,-0.1062555572295689,-1.153333333333333
110,1.203333333333333,0.0,0.3529742088163257,0.1198251635019746,-1.203333333333333
111,1.446666666666667,0.0,0.599544346296832,0.689223759489167,-1.446666666666667
112,1.736666666666667,0.0,0.6992729150939514,0.9538983348046781,-1.736666666666667
113,1.923333333333333,0.0,0.5247583349773155,0.9415103353871012,-1.923333333333333
114,2.22,0.0,0.3355836407881396,1.027612182870207,-2.22
