activation,hidden_units,learning_rate,weight_decay,dropout_rate,avg_val_mse,std_val_mse,avg_time,run_id
tanh,"(64,)",0.0005,1e-05,0.1,3.6323928833007812,0.11698675155639648,0.0408055,20250522_185332
tanh,"(128, 64)",0.001,1e-05,0.1,3.7195568084716797,0.040770530700683594,0.11686250000000001,20250522_185332
tanh,"(64,)",0.001,1e-05,0.1,3.7555456161499023,0.03864336013793945,0.040287500000000004,20250522_185332
relu,"(64, 32)",0.0005,1e-05,0.1,4.0505335330963135,0.3486592769622803,0.082039,20250522_185332
relu,"(128, 64)",0.0005,1e-05,0.1,4.086209535598755,0.7029469013214111,0.0345865,20250522_185332
relu,"(128, 64)",0.001,1e-05,0.1,4.116625547409058,0.5333917140960693,0.0431355,20250522_185332
tanh,"(64, 32)",0.0005,1e-05,0.1,4.118981719017029,0.3481022119522095,0.08064199999999999,20250522_185332
tanh,"(64, 32)",0.001,1e-05,0.1,4.204308748245239,0.09789443016052246,0.030416,20250522_185332
relu,"(64, 32)",0.001,1e-05,0.1,4.46286141872406,0.4677025079727173,0.0537835,20250522_185332
tanh,"(128, 64)",0.0005,1e-05,0.1,4.477627515792847,0.29988837242126465,0.029738,20250522_185332
relu,"(64,)",0.001,1e-05,0.1,4.886367321014404,0.25447988510131836,0.045825500000000005,20250522_185332
relu,"(64,)",0.0005,1e-05,0.1,5.207731246948242,0.32966136932373047,0.024482,20250522_185332
