activation,hidden_units,learning_rate,weight_decay,dropout_rate,avg_val_mse,std_val_mse,avg_time,run_id
relu,"(64,)",0.001,1e-05,0.1,0.36270861327648163,0.10002763569355011,0.066072,20250522_185217
relu,"(64,)",0.0005,1e-05,0.1,0.39527295529842377,0.05129729211330414,0.1246475,20250522_185217
relu,"(64, 32)",0.001,1e-05,0.1,0.5012160390615463,0.05837912857532501,0.1522425,20250522_185217
tanh,"(128, 64)",0.0005,1e-05,0.1,0.5374611467123032,0.04860551655292511,0.047602000000000005,20250522_185217
relu,"(128, 64)",0.001,1e-05,0.1,0.5813199430704117,0.13837967813014984,0.034585,20250522_185217
tanh,"(64, 32)",0.001,1e-05,0.1,0.6160706877708435,0.16565829515457153,0.098144,20250522_185217
relu,"(64, 32)",0.0005,1e-05,0.1,0.716391384601593,0.03323155641555786,0.139297,20250522_185217
tanh,"(64,)",0.001,1e-05,0.1,0.7685481309890747,0.15771019458770752,0.3648185,20250522_185217
tanh,"(64,)",0.0005,1e-05,0.1,0.7745082080364227,0.05850139260292053,0.082986,20250522_185217
tanh,"(64, 32)",0.0005,1e-05,0.1,0.8626120984554291,0.12237069010734558,0.035632,20250522_185217
tanh,"(128, 64)",0.001,1e-05,0.1,0.8662748336791992,0.3077867031097412,0.070159,20250522_185217
relu,"(128, 64)",0.0005,1e-05,0.1,0.9394384324550629,0.3155335485935211,0.0697525,20250522_185217
